Ressource;"Code Attributaire";Attributaire;"Date d'effet (attribution)";"N° décision d'attribution"
00167;FRTE;Orange;01/01/2017;2016-1702
00168;FRTE;Orange;01/01/2017;2016-1702
00169;FRTE;Orange;01/01/2017;2016-1702
00170;FRTE;Orange;01/01/2017;2016-1702
00171;FRTE;Orange;01/01/2017;2016-1702
00172;FRTE;Orange;01/01/2017;2016-1702
00173;FRTE;Orange;01/01/2017;2016-1702
00174;FRTE;Orange;01/01/2017;2016-1702
00175;FRTE;Orange;01/01/2017;2016-1702
00176;FRTE;Orange;01/01/2017;2016-1702
00177;FRTE;Orange;01/01/2017;2016-1702
00178;FRTE;Orange;01/01/2017;2016-1702
00179;FRTE;Orange;01/01/2017;2016-1702
00180;FRTE;Orange;01/01/2017;2016-1702
00181;FRTE;Orange;01/01/2017;2016-1702
00182;FRTE;Orange;01/01/2017;2016-1702
00183;FRTE;Orange;01/01/2017;2016-1702
00184;FRTE;Orange;01/01/2017;2016-1702
00185;FRTE;Orange;01/01/2017;2016-1702
00186;FRTE;Orange;01/01/2017;2016-1702
00187;FRTE;Orange;01/01/2017;2016-1702
00188;FRTE;Orange;01/01/2017;2016-1702
00189;FRTE;Orange;01/01/2017;2016-1702
00190;FRTE;Orange;01/01/2017;2016-1702
00191;FRTE;Orange;01/01/2017;2016-1702
00192;FRTE;Orange;01/01/2017;2016-1702
00193;FRTE;Orange;01/01/2017;2016-1702
00194;FRTE;Orange;01/01/2017;2016-1702
00195;FRTE;Orange;01/01/2017;2016-1702
00196;FRTE;Orange;01/01/2017;2016-1702
00197;FRTE;Orange;01/01/2017;2016-1702
00198;FRTE;Orange;01/01/2017;2016-1702
00199;FRTE;Orange;01/01/2017;2016-1702
00200;FRTE;Orange;01/01/2017;2016-1702
00201;FRTE;Orange;01/01/2017;2016-1702
00202;FRTE;Orange;01/01/2017;2016-1702
00203;FRTE;Orange;01/01/2017;2016-1702
00204;FRTE;Orange;01/01/2017;2016-1702
00205;FRTE;Orange;01/01/2017;2016-1702
00206;FRTE;Orange;01/01/2017;2016-1702
